,2017,2018,2019,2020
10030,80.36774928774922,100.89515527950304,100.9012646370024,111.11417661097846
10037,91.9183802816901,114.48235714285718,119.57859712230213,158.8967231638417
10039,86.64483425414369,104.62279069767455,114.38420289855074,118.303817427386
10001,83.68352422907499,93.9123979591837,85.95561194029858,104.86794952681386
10011,59.55045454545455,66.6267153284672,87.87443037974681,107.0346052631579
10018,77.53859375,66.17240000000001,74.30254545454545,59.99800000000001
10019,67.54559782608699,87.67546874999998,182.61940711462438,84.74989189189183
10020,0.0,0.0,0.0,0.0
10036,82.23622009569374,81.50229946524063,72.53724867724863,88.117987012987
10029,104.84286846275751,128.14191850594233,127.45007656967853,146.0123467862481
10035,92.49575916230371,97.37416901408447,103.00099750623441,113.48418750000005
10010,72.08105882352943,56.01603174603174,79.4696551724138,66.2404347826087
10016,66.51134502923976,63.951173184357586,87.69440476190478,92.79724867724865
10017,82.22538461538458,73.14476190476186,95.21904761904761,68.65716666666667
10022,78.05742424242429,79.73447368421049,88.62328767123283,76.30964912280702
10012,68.41060606060607,112.62666666666665,54.638333333333335,54.0586842105263
10013,60.970652173913045,78.1736111111111,45.24048780487805,128.69375
10014,103.64611111111117,79.950641025641,77.58990654205608,85.46268656716417
10004,39.1568,65.73090909090911,76.47944444444444,58.02804347826086
10005,73.71459459459454,71.80926829268293,55.604400000000005,60.61222222222222
10006,52.59285714285714,34.464999999999996,32.62923076923077,24.57875
10007,36.73041666666667,52.122,53.73200000000001,60.875416666666666
10038,68.55569999999999,67.93550561797753,69.6217829457364,62.776197183098574
10280,40.0,1692.0,70.68166666666666,88.03
10002,89.16677664974617,87.76321329639889,93.05060889929744,113.69002475247525
10003,80.8135164835165,63.35846153846154,90.10099999999996,66.30808000000002
10009,98.4671161048688,89.98636363636362,92.09334375,126.92013477088942
10021,58.935625,148.12305555555562,91.67555555555553,82.07797101449277
10028,76.9351807228916,66.72790123456787,123.0255140186916,101.95115942028988
10044,61.59444444444444,63.99196428571429,82.05185185185185,82.03095238095239
10065,61.5565306122449,54.35199999999999,51.92036585365853,67.64519999999999
10075,87.83909090909093,65.13521739130434,81.42175000000002,64.8298387096774
10128,70.62770186335405,82.14382716049379,93.31790575916222,75.92916083916087
10023,68.29966216216219,55.72305785123967,84.9367857142857,99.10851674641144
10024,83.20866995073885,89.14064171122992,98.08877777777775,95.25666666666665
10025,85.64859582542691,99.84003992015968,106.99934010152286,126.05811133200794
10031,96.97392578124995,102.81875000000012,90.98800865800875,99.71155092592595
10032,99.3205510204082,128.44027227722762,91.12595842956124,127.83211640211648
10033,77.49637500000001,104.93539906103288,86.67023346303502,112.20847457627123
10034,72.56355731225294,94.62526315789466,87.19976027397274,93.00392026578068
10040,68.56839041095886,95.68112903225804,76.66803797468347,106.2491065292096
11361,90.44100000000006,63.239464285714284,82.0823684210526,141.51556701030924
11362,55.74379310344828,58.47818181818182,56.15288461538462,70.58525423728814
11363,132.29,105.49399999999999,46.35333333333333,73.10000000000001
11364,62.244392523364475,73.83458646616543,57.405,70.95588785046729
11354,107.46088082901558,82.43015625000004,83.98798165137613,103.13249097472921
11355,79.53308571428575,81.10565789473684,84.28182648401823,87.50734299516907
11356,79.4213793103448,64.77424418604652,68.75548022598872,100.12040650406502
11357,73.02320610687028,78.65831932773108,88.59369747899159,155.71564417177916
11358,52.6800625,86.73164473684214,68.25825242718446,81.41797297297296
11359,0.0,0.0,0.0,0.0
