,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
11212,329.96032258064514,718.0482142857144,675.9754838709678,414.877,257.39399999999995,349.533,287.266129032258,251.87366666666676,229.1546666666667,260.0667741935484,541.3116666666666,783.6409677419356,305.4129032258065,802.0200000000001,839.0506451612902,474.6783333333334,444.98483870967743,387.2433333333333,339.9235483870966,440.7754838709676,370.1753333333333,429.88451612903225,553.2233333333335,965.4954838709677,392.2903225806452,941.8882142857145,852.060322580645,633.5006666666663,550.8329032258064,492.71066666666667,476.7629032258065,557.8716129032259,553.7563333333331,524.663548387097,695.3833333333334,1306.2258064516132,510.63290322580644,1012.6962068965522,1249.4051612903227,2477.409,2307.165263157894,2060.802702702703,1509.267837837838,930.687037037037
11213,164.99399999999994,332.9842857142857,345.9923333333334,214.71433333333337,178.56900000000005,195.1983333333333,194.814,155.6741935483871,164.0103448275862,169.52903225806443,265.0536666666667,403.2119354838709,178.77199999999996,336.79392857142847,433.3432258064517,264.85678571428565,242.59999999999997,257.47482758620697,239.11548387096778,187.08580645161297,228.38766666666663,258.4664516129032,334.6096666666666,534.3235483870967,201.8174193548387,370.36857142857144,380.0677419354839,431.4748275862068,233.66741935483876,355.46500000000003,270.1248387096773,296.3174193548386,343.22999999999996,336.44129032258076,421.31233333333313,622.4593548387096,255.02967741935478,516.4396551724138,476.76741935483864,937.261285714286,987.483859649123,871.5621621621618,746.0832432432431,274.19888888888886
11216,187.34870967741935,285.50111111111113,260.9845161290322,213.08482758620693,347.85066666666654,187.02533333333335,128.7196428571429,178.90387096774194,105.60923076923073,110.82846153846155,252.20172413793105,289.49806451612903,156.62366666666668,176.85925925925926,401.59806451612894,197.6655172413793,140.6953333333334,148.78074074074073,119.33500000000004,173.594,168.359,134.58620689655172,169.63724137931035,357.70322580645154,123.97533333333335,227.45250000000001,321.79161290322565,164.27100000000004,160.89419354838702,194.96866666666665,168.77032258064514,218.02000000000004,214.61233333333337,210.79566666666668,191.25799999999998,383.974193548387,180.57580645161292,286.63965517241377,417.1445161290322,480.9952173913043,583.8992982456142,580.4897297297298,360.38729729729727,441.18719999999996
11233,248.2506451612903,519.7878571428572,575.2232258064516,322.53633333333346,330.2690322580645,270.0055172413793,176.95483870967735,234.29000000000002,361.90133333333335,252.4687096774193,482.03766666666655,698.3403225806453,325.96193548387083,766.9028571428572,669.1058064516127,441.26866666666683,368.3590322580645,261.90833333333325,333.7700000000001,376.6341935483872,318.92633333333345,323.34064516129024,552.3683333333333,681.5070967741933,280.48967741935485,626.0092857142856,588.6774193548387,474.6890000000002,407.88032258064527,376.80500000000006,362.1516129032258,399.22225806451604,385.478,382.51806451612896,457.25966666666665,838.0077419354835,280.0973333333333,759.401724137931,684.0064516129032,1333.1445714285715,1245.4371929824563,1178.1043243243244,830.9124324324323,716.0570370370369
11238,112.71857142857141,120.54370370370368,231.25033333333337,135.0662962962963,119.6758620689655,120.13555555555557,87.81586206896554,183.75111111111116,97.23749999999997,141.93862068965515,184.6024137931035,250.87709677419352,136.6696551724138,251.83464285714282,233.5673333333333,134.38533333333342,141.88548387096773,181.2841379310345,128.6957142857143,111.90709677419352,147.3558620689655,125.45161290322584,163.97066666666672,238.51258064516128,128.65566666666663,252.8953571428572,270.21866666666665,168.82034482758627,159.10566666666665,166.495,171.79322580645155,170.29551724137926,195.4846666666666,203.1856666666667,207.04899999999998,330.72709677419357,114.35870967741938,388.7475862068963,331.96354838709675,723.4518571428571,632.4989473684212,501.8867567567567,417.9494594594596,237.7761538461539
11209,103.06,57.22,50.74533333333332,33.78333333333334,76.28538461538461,47.787777777777784,53.8375,53.43846153846153,69.65499999999999,75.14789473684212,128.0657894736842,106.73055555555555,64.41944444444444,73.26733333333333,55.0663157894737,57.553750000000015,76.38941176470587,105.61714285714288,75.46200000000002,79.49705882352943,56.462500000000006,77.03222222222222,59.8725,88.7525,42.23166666666666,53.9361111111111,86.530625,70.56266666666667,48.187333333333335,68.25869565217394,43.83782608695653,66.10458333333334,83.55272727272725,66.06941176470588,46.19521739130434,97.37125000000002,49.675000000000004,54.92363636363637,71.2874074074074,176.6588333333333,122.98604166666668,194.93000000000004,72.73826086956521,82.64666666666666
11214,39.43928571428571,44.24533333333333,24.772000000000006,30.5,45.57384615384616,46.433636363636374,35.263636363636365,122.23800000000001,85.69888888888889,38.24875,36.9623076923077,126.02882352941178,25.00916666666667,85.66923076923075,32.61888888888889,40.50363636363637,38.3325,31.815333333333335,104.83266666666665,37.625,36.37058823529412,63.351538461538475,73.850625,49.516666666666666,72.68347826086956,69.94250000000001,100.64391304347829,110.72136363636363,65.17052631578947,102.78478260869566,94.68360000000001,70.77272727272727,82.14869565217393,83.8322222222222,77.08214285714284,110.87827586206895,100.09380952380954,87.49869565217391,54.595416666666694,100.88307692307696,117.80229166666665,149.7439393939394,118.88565217391302,110.8690909090909
11228,41.72285714285714,84.76888888888888,36.33142857142857,67.92666666666666,39.8925,28.898333333333337,104.22833333333331,48.75555555555556,68.28,73.92142857142858,50.33923076923077,76.72800000000001,71.02833333333332,69.53714285714285,56.37666666666667,74.27368421052633,68.94149999999999,41.04,45.63363636363636,70.094,40.79529411764706,73.17333333333335,99.81666666666666,85.73999999999998,92.65363636363635,90.30812499999998,70.67300000000002,78.35857142857142,97.92625,126.13153846153847,114.25933333333334,108.11833333333333,93.34749999999998,86.60000000000001,115.485,130.22058823529414,35.904545454545456,78.82600000000001,70.63636363636364,81.5125806451613,125.94249999999998,110.39720000000001,96.25470588235294,130.45642857142857
11204,30.35571428571429,88.746,44.33846153846154,46.839999999999996,34.74,24.782500000000002,44.85777777777778,44.602727272727265,37.87444444444444,29.30666666666667,59.692307692307686,46.41944444444445,35.59111111111111,42.14461538461538,69.36,67.2975,55.95,45.19733333333334,50.20294117647059,37.54882352941177,52.19722222222222,64.43590909090909,86.40300000000002,60.81391304347825,29.228124999999995,53.35631578947367,55.90222222222222,47.66090909090911,89.86375000000002,103.95166666666667,53.59103448275862,106.4325,59.15416666666665,111.40363636363635,77.72846153846154,119.13178571428568,70.52892857142857,52.31392857142858,91.379,142.33911764705886,161.21836363636362,125.78407407407407,193.66617647058828,93.36
11218,60.04533333333334,131.4022222222222,70.37136363636365,75.18714285714286,80.995,50.529090909090904,70.70833333333331,43.479444444444425,60.85521739130435,54.466818181818205,76.49954545454548,103.69655172413789,77.43136363636366,137.0795238095238,79.98904761904762,65.19250000000001,62.3604761904762,49.5095,82.37894736842105,72.32999999999998,98.98833333333333,97.12499999999999,97.32190476190475,101.55000000000001,61.30555555555557,90.06550000000001,82.22888888888886,87.57083333333331,65.72035714285714,49.697391304347825,68.32931034482758,73.5672,74.62541666666667,70.78714285714287,81.44434782608698,89.96821428571427,44.73642857142857,93.43523809523809,62.79333333333335,135.696,129.16225,231.2832352941177,98.23799999999999,103.37588235294118
